"id","name","agency","genres","image_url","popularity","songkick_id","spotify_url","spotify_id","spotify_followers"
214,"Plastikman","WME","acid house, acid techno, detroit techno, dub techno, electronic, intelligent dance music, microhouse, minimal techno, tech house, techno","https://i.scdn.co/image/11bb080b67b65597026ba4f38c9ed9000bec6a5c",35,493466,"https://open.spotify.com/artist/7GoFQNOTX0suC6Tn59qx8n","7GoFQNOTX0suC6Tn59qx8n",41734
215,"Robert DeLong","WME","indie pop, indietronica, modern alternative rock, modern rock","https://i.scdn.co/image/ccaa5e2084831469f114e83f0772a53002d0a6da",55,1022209,"https://open.spotify.com/artist/42crL07E4WPfVovyUtMpvC","42crL07E4WPfVovyUtMpvC",81863
216,"Porter Robinson","WME","big room, brostep, complextro, edm, electro house, pop, progressive electro house","https://i.scdn.co/image/e17cf58b24225d6721c8995bb7e9bcee88edc1e7",64,3821916,"https://open.spotify.com/artist/3dz0NnIZhtKKeXZxLOxCam","3dz0NnIZhtKKeXZxLOxCam",594046
217,"Richie Hawtin","WME","detroit techno, microhouse, minimal techno, tech house, techno","https://i.scdn.co/image/ed149b9c3ef4ea200c9d2e110ae5370a49a3bfbd",38,146504,"https://open.spotify.com/artist/3AhwIUus3pIaA3CvYBEtpy","3AhwIUus3pIaA3CvYBEtpy",139692
218,"Sam Feldt","WME","dance pop, deep tropical house, edm, electro house, pop, tropical house","https://i.scdn.co/image/62e52a4d9e1c9cdb7dc906d3b72eb2866f7f3f8a",73,8386078,"https://open.spotify.com/artist/20gsENnposVs2I4rQ5kvrf","20gsENnposVs2I4rQ5kvrf",281246
219,"Seth Troxler","WME","minimal tech house, minimal techno","https://i.scdn.co/image/0d2db03e710b07ce622c761a6a7263b811f06384",35,2328789,"https://open.spotify.com/artist/3JkLFcTej6tdwZoQT6Nx4B","3JkLFcTej6tdwZoQT6Nx4B",58765
220,"Savoy","WME","brostep, catstep, chillstep, complextro, edm, electro house, tracestep","https://i.scdn.co/image/23ac87f1b81fea3f9008a25533994ab6b106c451",44,540974,"https://open.spotify.com/artist/25vU5DYwHIHhg1ViWV3SJq","25vU5DYwHIHhg1ViWV3SJq",20122
221,"Showtek","WME","big room, deep big room, edm, electro house, hardstyle, progressive electro house","https://i.scdn.co/image/3e85fa1c3bdd6d54d32e8edb799c313741b78962",71,600188,"https://open.spotify.com/artist/3gk0OYeLFWYupGFRHqLSR7","3gk0OYeLFWYupGFRHqLSR7",380424
222,"SG Lewis","WME","electropop, indie r&b, tropical house, vapor soul","https://i.scdn.co/image/7f3db1b2495fe1420bb08945b6c3411bb78d4c59",65,8252688,"https://open.spotify.com/artist/0GG2cWaonE4JPrjcCCQ1EG","0GG2cWaonE4JPrjcCCQ1EG",98863
223,"Skrillex","WME","brostep, complextro, edm, electro","https://i.scdn.co/image/e352d8a030acf0c2858a74c5710dc2640b1b4e63",81,3084961,"https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX","5he5w2lnU9x7JFhnwcekXX",6818475
224,"Soulwax","WME","alternative dance, belgian indie, big beat, dance-punk, electro house, electroclash, electronic, filter house, indietronica, mashup, new rave","https://i.scdn.co/image/417d68a62c258e9adb243f1a263bb73f5d913c7a",52,3715721,"https://open.spotify.com/artist/43mWhBXSflupNLuNjM5vff","43mWhBXSflupNLuNjM5vff",120627
225,"St. Lucia","WME","alternative dance, chillwave, electropop, indie pop, indie poptimism, indie psych-rock, indietronica, metropopolis, modern alternative rock, modern rock, neo-synthpop, shimmer pop, vapor soul","https://i.scdn.co/image/3e6aa92ab34ac29f575a51cd0af2deeed7969435",60,4362243,"https://open.spotify.com/artist/5WId4o5jdGVhptNU0uqKxu","5WId4o5jdGVhptNU0uqKxu",163291
226,"Spor","WME","drum and bass, liquid funk, neurofunk","https://i.scdn.co/image/6f421eb370d5be0b269a5610cbf2a42e465dfb2b",40,231037,"https://open.spotify.com/artist/42EZt9LfgsaF0WHlDC3FoM","42EZt9LfgsaF0WHlDC3FoM",28755
227,"Steve Aoki","WME","big room, dance pop, edm, electro house, pop, tropical house","https://i.scdn.co/image/9fb14e9cb53a341db6c4ef132e0c01f9c9a1dd40",81,567464,"https://open.spotify.com/artist/77AiFEVeAVj2ORpC85QVJs","77AiFEVeAVj2ORpC85QVJs",2721514
228,"The Aston Shuffle","WME","aussietronica, australian dance, deep groove house","https://i.scdn.co/image/b39333e53a94821f03860f9069ab1714552e4ed5",48,774382,"https://open.spotify.com/artist/4Jv9I6DAbcjDa8HGFAjv94","4Jv9I6DAbcjDa8HGFAjv94",27916
229,"The Avalanches","WME","alternative dance, australian dance, electronic, indietronica, neo-psychedelic, new rave","https://i.scdn.co/image/f107aee9884d6595112008973f3117224d083ee1",57,16256,"https://open.spotify.com/artist/3C8RpaI3Go0yFF9whvKoED","3C8RpaI3Go0yFF9whvKoED",195061
230,"The Chemical Brothers","WME","alternative dance, big beat, breakbeat, electronic, new rave, trip hop","https://i.scdn.co/image/5dd9cfeb73ad85ab7ad9a0dcad06b91b978cf72b",65,220274,"https://open.spotify.com/artist/1GhPHrq36VKCY3ucVaZCfo","1GhPHrq36VKCY3ucVaZCfo",832379
231,"The Martinez Brothers","WME","deep disco house, minimal tech house, minimal techno","https://i.scdn.co/image/beb26511ed7706a1cb89ffdd316d982770587c56",42,1414872,"https://open.spotify.com/artist/7B1LLuCQk13H4Mb6CFBftU","7B1LLuCQk13H4Mb6CFBftU",79485
232,"The Him","WME","deep house, deep tropical house, edm, electro house, house, tropical house, tropical pop edm","https://i.scdn.co/image/cf8bc09f77abcab59932b17485f385e6307d0c6b",65,338751,"https://open.spotify.com/artist/5WdqBAQhGFCrZvBKXiPIu7","5WdqBAQhGFCrZvBKXiPIu7",33991
233,"Thievery Corporation","WME","acid jazz, downtempo, electronic, nu jazz, trip hop","https://i.scdn.co/image/7e1f7ad6e0cd4aad43e71a88a942283004d68c85",64,114197,"https://open.spotify.com/artist/25KNo5GDS6ZpLkjasaecA3","25KNo5GDS6ZpLkjasaecA3",388224
234,"Thomas Jack","WME","deep house, deep tropical house, tropical house","https://i.scdn.co/image/1e654b4d6366cf40541ec9c678a5d6e84353679a",53,7366274,"https://open.spotify.com/artist/6JmzdIDSQdeHg0pocIascm","6JmzdIDSQdeHg0pocIascm",63230
